TOKEN,POS,NER
Amazon,PROPN,U-COM
quietly,ADV,O
announced,VERB,O
a,DET,O
huge,ADJ,O
deal,NOUN,O
with,ADP,O
Fox,PROPN,B-COM
Broadcasting,PROPN,I-COM
Company,PROPN,L-COM
over,ADP,O
the,DET,O
weekend,NOUN,O
.,PUNCT,O
##END,###,O
Posting,VERB,O
directly,ADV,O
on,ADP,O
Amazon.com,PROPN,U-COM
",",PUNCT,O
CEO,PROPN,B-PPL
Jeff,PROPN,I-PPL
Bezos,PROPN,L-PPL
brought,VERB,O
the,DET,O
big,ADJ,O
news,NOUN,O
to,ADP,O
Prime,PROPN,U-PDT
subscribers,NOUN,O
who,NOUN,O
will,VERB,O
now,ADV,O
have,VERB,O
unlimited,ADJ,O
access,NOUN,O
to,ADP,O
an,DET,O
additional,ADJ,O
"11,000",NUM,O
movies,NOUN,O
and,CONJ,O
TV,NOUN,O
shows,NOUN,O
.,PUNCT,O
##END,###,O
These,DET,O
are,VERB,O
huge,ADJ,O
titles,NOUN,O
",",PUNCT,O
too,ADV,O
:,PUNCT,O
##END,###,O
The,DET,O
X,NOUN,O
-,PUNCT,O
Files,NOUN,O
",",PUNCT,O
Buffy,PROPN,O
the,DET,O
Vampire,PROPN,O
Slayer,PROPN,O
",",PUNCT,O
24,NUM,O
",",PUNCT,O
Arrested,PROPN,O
Development,PROPN,O
",",PUNCT,O
and,CONJ,O
The,DET,O
Wonder,PROPN,O
Years,PROPN,O
.,PUNCT,O
##END,###,O
Yep,INTJ,O
",",PUNCT,O
you,PRON,O
can,VERB,O
now,ADV,O
stream,VERB,O
the,DET,O
adventurers,NOUN,O
of,ADP,O
Kevin,PROPN,O
Arnold,PROPN,O
through,ADP,O
Amazon,PROPN,U-COM
’s,PROPN,O
Prime,PROPN,B-PDT
Instant,PROPN,I-PDT
Video,PROPN,L-PDT
.,PUNCT,O
##END,###,O
Jeff,PROPN,B-PPL
Bezos,PROPN,L-PPL
",",PUNCT,O
I,PRON,O
have,VERB,O
big,ADJ,O
news,NOUN,O
for,ADP,O
Amazon,PROPN,B-PDT
Prime,PROPN,L-PDT
members,NOUN,O
–,PUNCT,O
we,PRON,O
’ve,VERB,O
just,ADV,O
signed,VERB,O
a,DET,O
deal,NOUN,O
with,ADP,O
FOX,PROPN,U-COM
to,PART,O
add,VERB,O
a,DET,O
broad,ADJ,O
selection,NOUN,O
of,ADP,O
movies,NOUN,O
and,CONJ,O
TV,NOUN,O
shows,NOUN,O
to,ADP,O
our,ADJ,O
unlimited,ADJ,O
instant,ADJ,O
streaming,NOUN,O
service,NOUN,O
later,ADV,O
this,DET,O
fall,NOUN,O
.,PUNCT,O
##END,###,O
The,DET,O
new,ADJ,O
additions,NOUN,O
from,ADP,O
the,DET,O
FOX,PROPN,U-COM
library,NOUN,O
include,VERB,O
24,NUM,O
",",PUNCT,O
Arrested,PROPN,O
Development,PROPN,O
",",PUNCT,O
The,DET,O
X,PROPN,O
-,PUNCT,O
Files,PROPN,O
",",PUNCT,O
Ally,PROPN,O
McBeal,PROPN,O
",",PUNCT,O
Buffy,PROPN,O
the,DET,O
Vampire,PROPN,O
Slayer,PROPN,O
",",PUNCT,O
and,CONJ,O
–,PUNCT,O
##END,###,O
available,ADJ,O
on,ADP,O
digital,ADJ,O
video,NOUN,O
for,ADP,O
the,DET,O
first,ADJ,O
time,NOUN,O
–,PUNCT,O
##END,###,O
The,DET,O
Wonder,NOUN,O
Years,NOUN,O
.,PUNCT,O
##END,###,O
We,PRON,O
now,ADV,O
have,VERB,O
deals,NOUN,O
with,ADP,O
CBS,PROPN,U-COM
",",PUNCT,O
NBCUniversal,PROPN,U-COM
",",PUNCT,O
Sony,PROPN,U-COM
",",PUNCT,O
and,CONJ,O
Warner,PROPN,B-COM
Bros,PROPN,L-COM
",",PUNCT,O
and,CONJ,O
adding,VERB,O
FOX,PROPN,U-COM
will,VERB,O
bring,VERB,O
the,DET,O
total,NOUN,O
to,ADP,O
more,ADJ,O
than,ADP,O
"11,000",NUM,O
movies,NOUN,O
and,CONJ,O
TV,NOUN,O
shows,NOUN,O
available,ADJ,O
for,ADP,O
unlimited,ADJ,O
instant,NOUN,O
streaming,NOUN,O
.,PUNCT,O
##END,###,O
These,DET,O
new,ADJ,O
additions,NOUN,O
prop,VERB,O
up,PART,O
Amazon,PROPN,U-COM
’s,PROPN,O
Netflix,PROPN,U-COM
competitor,NOUN,O
rather,ADV,O
nicely,ADV,O
.,PUNCT,O
##END,###,O
Besides,ADP,O
The,DET,O
Wonder,PROPN,O
Years,PROPN,O
",",PUNCT,O
which,ADJ,O
Amazon,PROPN,U-COM
is,VERB,O
streaming,VERB,O
exclusively,ADV,O
",",PUNCT,O
Netflix,PROPN,U-COM
should,VERB,O
have,VERB,O
a,DET,O
good,ADJ,O
chunk,NOUN,O
of,ADP,O
these,DET,O
new,ADJ,O
titles,NOUN,O
.,PUNCT,O
##END,###,O
This,DET,O
is,VERB,O
n’t,ADV,O
a,DET,O
bad,ADJ,O
thing,NOUN,O
as,ADP,O
Amazon,PROPN,U-COM
does,VERB,O
n’t,ADV,O
necessarily,ADV,O
need,VERB,O
exclusive,ADJ,O
content,NOUN,O
to,PART,O
counter,VERB,O
Netflix,PROPN,U-COM
.,PUNCT,O
##END,###,O
Amazon,PROPN,U-COM
’s,PROPN,O
Prime,PROPN,B-PDT
Instant,PROPN,I-PDT
Video,PROPN,L-PDT
simply,ADV,O
needs,VERB,O
more,ADJ,O
content,NOUN,O
and,CONJ,O
deals,NOUN,O
like,ADP,O
this,DET,O
one,NOUN,O
.,PUNCT,O
##END,###,O
Amazon,PROPN,U-COM
launched,VERB,O
Prime,PROPN,B-PDT
Instant,PROPN,I-PDT
Video,PROPN,L-PDT
last,ADJ,O
February,PROPN,I-DAT
and,CONJ,O
has,VERB,O
steadily,ADV,O
added,VERB,O
new,ADJ,O
content,NOUN,O
.,PUNCT,O
##END,###,O
The,DET,O
service,NOUN,O
offers,VERB,O
all,DET,O
-,PUNCT,O
you,PRON,O
-,PUNCT,O
can,VERB,O
-,PUNCT,O
watch,VERB,O
unlimited,ADJ,O
streaming,NOUN,O
for,ADP,O
$,SYM,B-MON
79.99,NUM,L-MON
a,DET,O
year,NOUN,O
",",PUNCT,O
which,ADJ,O
works,VERB,O
out,PART,O
to,ADP,O
$,SYM,B-MON
6.64,NUM,L-MON
a,DET,O
month,NOUN,O
verse,NOUN,O
Netflix,PROPN,U-COM
’s,SYM,O
$,SYM,B-MON
7.99,NUM,L-MON
.,PUNCT,O
##END,###,O
However,ADV,O
",",PUNCT,O
besides,ADP,O
the,DET,O
access,NOUN,O
to,ADP,O
unlimited,ADJ,O
streaming,NOUN,O
",",PUNCT,O
the,DET,O
$,SYM,B-MON
79.99,NUM,L-MON
a,DET,O
year,NOUN,O
charge,NOUN,O
nets,NOUN,O
buyers,NOUN,O
free,ADJ,O
2-day,NOUN,O
shipping,NOUN,O
and,CONJ,O
$,SYM,B-MON
3.99,NUM,L-MON
one,NUM,O
day,NOUN,O
shipping,NOUN,O
.,PUNCT,O
##END,###,O
With,ADP,O
strong,ADJ,O
platform,NOUN,O
support,NOUN,O
",",PUNCT,O
and,CONJ,O
now,ADV,O
11k,NUM,O
titles,NOUN,O
from,ADP,O
Fox,PROPN,U-COM
",",PUNCT,O
Amazon,PROPN,B-PDT
Prime,PROPN,I-PDT
Instant,PROPN,I-PDT
Video,PROPN,L-PDT
is,VERB,O
looking,VERB,O
rather,ADV,O
tasty,ADJ,O
.,PUNCT,O
##END,###,O
A,DET,O
report,NOUN,O
being,VERB,O
released,VERB,O
today,NOUN,O
from,ADP,O
mobile,ADJ,O
analytics,NOUN,O
firm,ADJ,O
Distimo,PROPN,U-COM
finds,VERB,O
that,ADP,O
the,DET,O
majority,NOUN,O
of,ADP,O
the,DET,O
top,ADJ,O
100,NUM,O
brands,NOUN,O
(,PUNCT,O
91%,SYM,O
),PUNCT,O
now,ADV,O
have,VERB,O
a,DET,O
presence,NOUN,O
in,ADP,O
at,ADV,O
least,ADV,O
one,NUM,O
of,ADP,O
the,DET,O
major,ADJ,O
mobile,ADJ,O
application,NOUN,O
stores,NOUN,O
",",PUNCT,O
usually,ADV,O
Apple,PROPN,U-COM
’s,PROPN,O
iTunes,NOUN,U-PDT
.,PUNCT,O
##END,###,O
This,DET,O
finding,NOUN,O
is,VERB,O
notable,ADJ,O
because,ADP,O
just,ADV,O
18,NUM,O
months,NOUN,O
ago,ADV,O
",",PUNCT,O
only,ADV,O
half,NOUN,O
(,PUNCT,O
51%,PROPN,O
),PUNCT,O
of,ADP,O
the,DET,O
top,ADJ,O
brands,NOUN,O
even,ADV,O
had,VERB,O
any,DET,O
mobile,ADJ,O
applications,NOUN,O
published,VERB,O
.,PUNCT,O
##END,###,O
The,DET,O
“,PUNCT,O
top,ADJ,O
brands,NOUN,O
”,X,O
in,ADP,O
Distimo,PROPN,U-COM
’s,PROPN,O
new,ADJ,O
report,NOUN,O
are,VERB,O
those,DET,O
defined,VERB,O
by,ADP,O
the,DET,O
Interbrand,PROPN,O
2011,NUM,O
Best,PROPN,O
Brands,PROPN,O
report,NOUN,O
",",PUNCT,O
and,CONJ,O
include,VERB,O
household,NOUN,O
names,NOUN,O
