When,ADV,O
I,PRON,O
first,ADV,O
reached,VERB,O
out,PART,O
to,ADP,O
MG,PROPN,B-PPL
Siegler,PROPN,L-PPL
to,PART,O
join,VERB,O
TechCrunch,PROPN,U-COM
two,NUM,B-DAT
and,CONJ,I-DAT
a,DET,I-DAT
half,NOUN,I-DAT
years,NOUN,I-DAT
ago,ADV,L-DAT
",",PUNCT,O
,SPACE,O
I,PRON,O
knew,VERB,O
he,PRON,O
was,VERB,O
an,DET,O
amazing,ADJ,O
talent,NOUN,O
who,NOUN,O
could,VERB,O
help,VERB,O
cement,VERB,O
our,ADJ,O
place,NOUN,O
as,ADP,O
the,DET,O
premier,NOUN,O
technology,NOUN,O
blog,NOUN,O
on,ADP,O
the,DET,O
Internet,NOUN,O
.,PUNCT,O
,SPACE,O
##END,###,O
Ever,ADV,O
since,ADP,O
Michael,PROPN,U-PPL
and,CONJ,O
I,PRON,O
hired,VERB,O
him,PRON,O
",",PUNCT,O
he,PRON,O
has,VERB,O
not,ADV,O
disappointed,VERB,O
.,PUNCT,O
,SPACE,O
##END,###,O
Everyone,NOUN,O
from,ADP,O
the,DET,O
New,PROPN,B-COM
York,PROPN,I-COM
Times,PROPN,L-COM
to,ADP,O
every,DET,O
one,NUM,O
of,ADP,O
our,ADJ,O
competitors,NOUN,O
has,VERB,O
tried,VERB,O
to,PART,O
recruit,VERB,O
him,PRON,O
away,ADV,O
",",PUNCT,O
but,CONJ,O
he,PRON,O
’s,NUM,O
always,ADV,O
stuck,VERB,O
with,ADP,O
TechCrunch,PROPN,U-COM
.,PUNCT,O
##END,###,O
He,PRON,O
decided,VERB,O
to,PART,O
change,VERB,O
careers,NOUN,O
and,CONJ,O
will,VERB,O
become,VERB,O
a,DET,O
VC,NOUN,O
",",PUNCT,O
just,ADV,O
like,ADP,O
Michael,PROPN,B-PPL
Arrington,PROPN,L-PPL
.,PUNCT,O
,SPACE,O
##END,###,O
In,ADP,O
fact,NOUN,O
",",PUNCT,O
Michael,PROPN,U-PPL
is,VERB,O
the,DET,O
one,NUM,O
who,NOUN,O
is,VERB,O
hiring,VERB,O
him,PRON,O
as,ADP,O
a,DET,O
general,ADJ,O
partner,NOUN,O
at,ADP,O
the,DET,O
CrunchFund,PROPN,U-PDT
(,PUNCT,O
beating,VERB,O
out,PART,O
offers,VERB,O
from,ADP,O
several,ADJ,O
other,ADJ,O
top,NOUN,O
-,PUNCT,O
tier,NOUN,O
VC,NOUN,O
firms,NOUN,O
MG,PROPN,U-PPL
was,VERB,O
considering,VERB,O
),PUNCT,O
.,PUNCT,O
,SPACE,O
##END,###,O
But,CONJ,O
MG,PROPN,U-PPL
will,VERB,O
be,VERB,O
the,DET,O
first,ADJ,O
to,PART,O
tell,VERB,O
you,PRON,O
that,ADP,O
his,ADJ,O
decision,NOUN,O
to,PART,O
become,VERB,O
a,DET,O
VC,NOUN,O
predates,VERB,O
all,ADJ,O
the,DET,O
recent,ADJ,O
drama,NOUN,O
around,ADP,O
Michael,PROPN,U-PPL
leaving,VERB,O
TechCrunch,PROPN,U-COM
(,PUNCT,O
and,CONJ,O
I,PRON,O
will,VERB,O
let,VERB,O
him,PRON,O
tell,VERB,O
you,PRON,O
so,ADP,O
himself,PRON,O
in,ADP,O
his,ADJ,O
own,ADJ,O
post,NOUN,O
),PUNCT,O
.,PUNCT,O
##END,###,O
While,ADP,O
MG,PROPN,U-PPL
will,VERB,O
only,ADV,O
be,VERB,O
working,VERB,O
full,ADJ,O
time,NOUN,O
as,ADP,O
a,DET,O
writer,NOUN,O
at,ADP,O
TechCrunch,PROPN,U-COM
for,ADP,O
another,DET,O
month,NOUN,O
",",PUNCT,O
I,PRON,O
am,VERB,O
pleased,ADJ,O
to,PART,O
announce,VERB,O
that,ADP,O
he,PRON,O
will,VERB,O
continue,VERB,O
to,PART,O
write,VERB,O
for,ADP,O
us,PRON,O
after,ADP,O
that,DET,O
on,ADP,O
a,DET,O
regular,ADJ,O
basis,NOUN,O
as,ADP,O
an,DET,O
outside,ADJ,O
columnist,NOUN,O
.,PUNCT,O
,SPACE,O
##END,###,O
And,CONJ,O
just,ADV,O
like,ADP,O
he,PRON,O
has,VERB,O
always,ADV,O
done,VERB,O
",",PUNCT,O
he,PRON,O
will,VERB,O
continue,VERB,O
to,PART,O
follow,VERB,O
our,ADJ,O
editorial,NOUN,O
standards,NOUN,O
",",PUNCT,O
which,ADJ,O
require,VERB,O
strict,ADJ,O
disclosures,NOUN,O
for,ADP,O
any,DET,O
kind,NOUN,O
of,ADP,O
conflict,NOUN,O
whatsoever—,X,O
##END,###,O
MG,PROPN,U-PPL
is,VERB,O
one,NUM,O
of,ADP,O
the,DET,O
top,ADJ,O
journalists,NOUN,O
in,ADP,O
the,DET,O
world,NOUN,O
writing,VERB,O
about,ADP,O
Apple,PROPN,U-COM
already,ADV,O
.,PUNCT,O
##END,###,O
We,PRON,O
are,VERB,O
going,VERB,O
to,PART,O
have,VERB,O
a,DET,O
lot,NOUN,O
more,ADJ,O
columnists,NOUN,O
.,PUNCT,O
,SPACE,O
##END,###,O
In,ADP,O
fact,NOUN,O
",",PUNCT,O
you,PRON,O
already,ADV,O
know,VERB,O
many,ADJ,O
of,ADP,O
them,PRON,O
because,ADP,O
they,PRON,O
are,VERB,O
currently,ADV,O
regular,ADJ,O
contributors,NOUN,O
—,PUNCT,O
people,NOUN,O
like,ADP,O
Chris,PROPN,B-PPL
Dixon,PROPN,L-PPL
",",PUNCT,O
Mark,PROPN,B-PPL
Suster,PROPN,L-PPL
",",PUNCT,O
Andrew,PROPN,B-PPL
Keen,PROPN,L-PPL
",",PUNCT,O
Steve,PROPN,B-PPL
Gillmor,PROPN,L-PPL
