And,CONJ,O
according,VERB,O
to,ADP,O
the,DET,O
company,NOUN,O
",",PUNCT,O
37,NUM,O
million,NUM,O
Americans,PROPN,O
have,VERB,O
student,NOUN,O
loan,NOUN,O
debt,NOUN,O
",",PUNCT,O
38,NUM,O
percent,NOUN,O
of,ADP,O
whom,NOUN,O
are,VERB,O
not,ADV,O
making,VERB,O
any,DET,O
progress,NOUN,O
paying,VERB,O
it,PRON,O
off,PART,O
##END,###,O
The,DET,O
founder,NOUN,O
himself,PRON,O
",",PUNCT,O
Brendon,PROPN,B-PPL
McQueen,PROPN,L-PPL
",",PUNCT,O
graduated,VERB,O
from,ADP,O
Columbia,PROPN,U-ACA
with,ADP,O
12,NUM,O
student,NOUN,O
loans,NOUN,O
and,CONJ,O
over,ADP,O
$,SYM,B-MON
"120,000",NUM,L-MON
in,ADP,O
debt,NOUN,O
",",PUNCT,O
so,ADP,O
he,PRON,O
is,VERB,O
certainly,ADV,O
solving,VERB,O
a,DET,O
pain,NOUN,O
point,NOUN,O
he,PRON,O
understands,VERB,O
##END,###,O
Users,NOUN,O
can,VERB,O
then,ADV,O
reduce,VERB,O
monthly,ADJ,O
payments,NOUN,O
as,ADP,O
needed,VERB,O
##END,###,O
This,DET,O
slideshow,NOUN,O
requires,VERB,O
JavaScript,PROPN,U-PDT
##END,###,O
It,PRON,O
looks,VERB,O
like,ADP,O
Yelp,NOUN,U-COM
is,VERB,O
following,VERB,O
in,ADP,O
the,DET,O
footsteps,NOUN,O
of,ADP,O
Foursquare,PROPN,U-COM
once,ADV,O
again,ADV,O
with,ADP,O
the,DET,O
launch,NOUN,O
of,ADP,O
Check,PROPN,O
-,PUNCT,O
In,PROPN,O
Offers,PROPN,O
##END,###,O
Yelp,NOUN,U-COM
also,ADV,O
says,VERB,O
that,ADP,O
this,DET,O
is,VERB,O
different,ADJ,O
from,ADP,O
the,DET,O
Sales,PROPN,U-PPL
and,CONJ,O
Special,PROPN,O
Offers,PROPN,O
feature,NOUN,O
",",PUNCT,O
which,ADJ,O
allows,VERB,O
merchants,NOUN,O
to,PART,O
announce,VERB,O
discounts,NOUN,O
on,ADP,O
