And,CONJ,O
what,ADJ,O
a,DET,O
year,NOUN,O
it,PRON,O
was,VERB,O
as,ADP,O
the,DET,O
Internet,NOUN,O
turned,VERB,O
into,ADP,O
to,ADP,O
a,DET,O
staple,NOUN,O
of,ADP,O
Main,PROPN,O
Street,PROPN,O
",",PUNCT,O
forcing,VERB,O
powerful,ADJ,O
changes,NOUN,O
in,ADP,O
the,DET,O
way,NOUN,O
people,NOUN,O
interacted,VERB,O
with,ADP,O
each,DET,O
other,ADJ,O
##END,###,O
From,ADP,O
e,PUNCT,O
-,PUNCT,O
mail,NOUN,O
to,ADP,O
shopping,VERB,O
to,ADP,O
politics,NOUN,O
to,ADP,O
culture,NOUN,O
",",PUNCT,O
the,DET,O
Web,NOUN,O
turned,VERB,O
into,ADP,O
a,DET,O
prime,ADJ,O
-,PUNCT,O
time,NOUN,O
vehicle,NOUN,O
for,ADP,O
a,DET,O
100,NUM,O
million,NUM,O
individuals,NOUN,O
--,PUNCT,O
not,ADV,O
just,ADV,O
in,ADP,O
America,PROPN,U-GPE
but,CONJ,O
around,ADP,O
the,DET,O
globe,NOUN,O
##END,###,O
Just,ADV,O
how,ADV,O
mainstream,ADJ,O
the,DET,O
Internet,NOUN,O
had,VERB,O
become,VERB,O
was,VERB,O
underscored,ADJ,O
on,ADP,O
September,PROPN,B-DAT
11,NUM,L-DAT
when,ADV,O
special,ADJ,O
prosecutor,NOUN,O
Ken,PROPN,B-PPL
Starr,PROPN,L-PPL
released,VERB,O
the,DET,O
results,NOUN,O
of,ADP,O
his,ADJ,O
investigation,NOUN,O
of,ADP,O
President,PROPN,O
Clinton,PROPN,U-PPL
on,ADP,O
the,DET,O
Internet,NOUN,O
",",PUNCT,O
a,DET,O
full,ADJ,O
day,NOUN,O
before,ADP,O
newspapers,NOUN,O
had,VERB,O
a,DET,O
chance,NOUN,O
to,PART,O
publish,VERB,O
the,DET,O
text,NOUN,O
##END,###,O
The,DET,O
Internet,NOUN,O
prevailed,VERB,O
at,ADP,O
a,DET,O
moment,NOUN,O
that,ADJ,O
marked,VERB,O
another,DET,O
rite,NOUN,O
in,ADP,O
its,ADJ,O
passage,NOUN,O
to,ADP,O
maturity,NOUN,O
as,ADP,O
a,DET,O
medium,NOUN,O
##END,###,O
Sales,NOUN,O
of,ADP,O
goods,NOUN,O
and,CONJ,O
services,NOUN,O
over,ADP,O
the,DET,O
Internet,NOUN,O
were,VERB,O
expected,VERB,O
to,PART,O
reach,VERB,O
$,SYM,B-MON
7.1,NUM,I-MON
billion,NUM,L-MON
in,ADP,O
1998,NUM,U-DAT
",",PUNCT,O
more,ADV,O
than,ADP,O
double,ADJ,O
the,DET,O
previous,ADJ,O
year,NOUN,O
##END,###,O
Driven,VERB,O
by,ADP,O
fear,NOUN,O
and,CONJ,O
greed,NOUN,O
",",PUNCT,O
traditional,ADJ,O
businesses,NOUN,O
joined,VERB,O
the,DET,O
entrepreneurs,NOUN,O
in,ADP,O
rushing,VERB,O
to,PART,O
hang,VERB,O
out,PART,O
shingles,NOUN,O
in,ADP,O
cyberspace,NOUN,O
##END,###,O
This,DET,O
prospect,NOUN,O
was,VERB,O
n't,ADV,O
lost,VERB,O
on,ADP,O
Wall,PROPN,B-GPE
Street,PROPN,L-GPE
",",PUNCT,O
which,ADJ,O
sent,VERB,O
any,DET,O
new,ADJ,O
issue,NOUN,O
with,ADP,O
a,DET,O
"""",PUNCT,O
Net,ADJ,O
"""",PUNCT,O
in,ADP,O
its,ADJ,O
name,NOUN,O
to,ADP,O
nosebleed,VERB,O
heights,NOUN,O
##END,###,O
The,DET,O
shares,NOUN,O
of,ADP,O
more,ADJ,O
established,VERB,O
online,ADV,O
companies,NOUN,O
",",PUNCT,O
such,ADJ,O
as,ADP,O
Yahoo,PROPN,B-COM
!,PUNCT,L-COM
and,CONJ,O
America,PROPN,B-COM
Online,PROPN,I-COM
Inc.,PROPN,L-COM
",",PUNCT,O
soared,VERB,O
as,ADV,O
well,ADV,O
##END,###,O
Traditional,ADJ,O
metrics,NOUN,O
",",PUNCT,O
such,ADJ,O
as,ADP,O
price,NOUN,O
-,PUNCT,O
earnings,NOUN,O
ratios,NOUN,O
",",PUNCT,O
went,VERB,O
ignored,VERB,O
as,ADP,O
Wall,PROPN,B-GPE
Street,PROPN,L-GPE
enthusiasts,NOUN,O
argued,VERB,O
that,ADP,O
investors,NOUN,O
needed,VERB,O
to,PART,O
judge,VERB,O
Internet,NOUN,O
stocks,NOUN,O
by,ADP,O
a,DET,O
new,ADJ,O
benchmark,NOUN,O
##END,###,O
It,PRON,O
was,VERB,O
quite,ADJ,O
a,DET,O
spectacle,NOUN,O
##END,###,O
Microsoft,PROPN,U-COM
went,VERB,O
on,ADP,O
trial,NOUN,O
in,ADP,O
federal,ADJ,O
court,NOUN,O
",",PUNCT,O
charged,VERB,O
by,ADP,O
the,DET,O
U.S.,PROPN,B-GOV
Department,PROPN,I-GOV
of,ADP,I-GOV
Justice,PROPN,L-GOV
with,ADP,O
violating,VERB,O
antitrust,ADJ,O
laws,NOUN,O
##END,###,O
Unlike,ADP,O
a,DET,O
criminal,ADJ,O
trial,NOUN,O
",",PUNCT,O
where,ADV,O
the,DET,O
prosecution,NOUN,O
must,VERB,O
prove,VERB,O
the,DET,O
guilt,NOUN,O
beyond,ADP,O
a,DET,O
reasonable,ADJ,O
doubt,NOUN,O
",",PUNCT,O
the,DET,O
DOJ,PROPN,U-GOV
only,ADV,O
needs,VERB,O
to,PART,O
provide,VERB,O
a,DET,O
"""",PUNCT,O
preponderance,NOUN,O
of,ADP,O
evidence,NOUN,O
.,PUNCT,O
##END,###,O
Government,NOUN,O
lawyers,NOUN,O
used,VERB,O
testimony,NOUN,O
from,ADP,O
competitors,NOUN,O
and,CONJ,O
internal,ADJ,O
Microsoft,PROPN,U-COM
memos,NOUN,O
to,PART,O
paint,VERB,O
a,DET,O
picture,NOUN,O
of,ADP,O
a,DET,O
company,NOUN,O
that,ADJ,O
leveraged,VERB,O
its,ADJ,O
dominance,NOUN,O
in,ADP,O
operating,VERB,O
systems,NOUN,O
to,PART,O
crush,VERB,O
nascent,ADJ,O
competition,NOUN,O
##END,###,O
Enter,VERB,O
"""",PUNCT,O
The,DET,O
Portal,PROPN,O
"""",PUNCT,O
The,DET,O
Internet,NOUN,O
remained,VERB,O
a,DET,O
freewheeling,ADJ,O
field,NOUN,O
where,ADV,O
anyone,NOUN,O
with,ADP,O
a,DET,O
bright,ADJ,O
idea,NOUN,O
and,CONJ,O
a,DET,O
server,NOUN,O
could,VERB,O
try,VERB,O
their,ADJ,O
luck,NOUN,O
at,ADP,O
Internet,NOUN,O
publishing,NOUN,O
##END,###,O
As,ADP,O
the,DET,O
year,NOUN,O
progressed,VERB,O
",",PUNCT,O
so,ADV,O
-,PUNCT,O
called,VERB,O
Web,NOUN,O
portal,NOUN,O
sites,NOUN,O
established,VERB,O
new,ADJ,O
prominence,NOUN,O
##END,###,O
The,DET,O
idea,NOUN,O
was,VERB,O
simple,ADJ,O
##END,###,O
So,ADV,O
companies,NOUN,O
such,ADJ,O
